participant_id	apm_corr	apm_incorr	apm_RT
sub-pp048	1.0	0.0	16373.39999999851
sub-pp048	1.0	0.0	10435.10000000149
sub-pp048	1.0	0.0	23159.300000000745
sub-pp048	1.0	0.0	47422.0
sub-pp048	1.0	0.0	24695.400000002235
sub-pp048	1.0	0.0	22675.300000000745
sub-pp048	1.0	0.0	34007.5
sub-pp048	1.0	0.0	37257.0
sub-pp048	1.0	0.0	41242.800000000745
sub-pp048	1.0	0.0	53031.5
sub-pp048	1.0	0.0	49530.0
sub-pp048	1.0	0.0	22440.800000000745
sub-pp048	0.0	1.0	71946.30000000075
sub-pp048	0.0	1.0	62030.699999999255
sub-pp048	0.0	1.0	102344.60000000148
sub-pp048	0.0	1.0	74050.39999999851
sub-pp048	1.0	0.0	77767.60000000149
sub-pp048	1.0	0.0	68238.80000000075
sub-pp048	0.0	1.0	105158.39999999852
sub-pp048	1.0	0.0	38513.800000000745
sub-pp048	0.0	1.0	88313.39999999851
sub-pp048	1.0	0.0	43763.199999999255
sub-pp048	0.0	1.0	123667.39999999852
