amma_corr	participant_id	amma_response
0.0	sub-pp155	R
1.0	sub-pp155	I
0.0	sub-pp155	I
0.0	sub-pp155	M
0.0	sub-pp155	R
1.0	sub-pp155	I
0.0	sub-pp155	I
1.0	sub-pp155	R
1.0	sub-pp155	I
0.0	sub-pp155	M
1.0	sub-pp155	M
0.0	sub-pp155	R
0.0	sub-pp155	M
1.0	sub-pp155	M
0.0	sub-pp155	M
0.0	sub-pp155	R
0.0	sub-pp155	M
1.0	sub-pp155	I
0.0	sub-pp155	I
1.0	sub-pp155	I
1.0	sub-pp155	R
0.0	sub-pp155	M
0.0	sub-pp155	I
1.0	sub-pp155	I
1.0	sub-pp155	M
0.0	sub-pp155	Je ne sais pas
0.0	sub-pp155	R
0.0	sub-pp155	I
1.0	sub-pp155	I
1.0	sub-pp155	R
