participant_id	digit-back_corr	digit-back_incorr	digit-back_RT	digit-back_response
sub-pp111	1.0	0.0	3355.099998474121	13
sub-pp111	1.0	0.0	2045.8000011444087	42
sub-pp111	1.0	0.0	1623.1999988555908	64
sub-pp111	1.0	0.0	1323.6000003814695	75
sub-pp111	1.0	0.0	5112.900001525879	926
sub-pp111	1.0	0.0	8060.799999237061	574
sub-pp111	1.0	0.0	6255.0	9728
sub-pp111	1.0	0.0	4666.10000038147	8694
sub-pp111	1.0	0.0	8131.199998855591	34856
sub-pp111	1.0	0.0	8433.89999961853	68451
sub-pp111	0.0	1.0	19534.19999885559	81745
sub-pp111	0.0	1.0	23618.29999923706	65841
