participant_id	digit-back_corr	digit-back_incorr	digit-back_RT	digit-back_response
sub-pp155	1.0	0.0	3144.800000190735	13
sub-pp155	1.0	0.0	1932.699999809265	42
sub-pp155	1.0	0.0	1300.2999997138977	64
sub-pp155	1.0	0.0	2289.0	75
sub-pp155	1.0	0.0	1856.400000095368	926
sub-pp155	1.0	0.0	3751.5	574
sub-pp155	1.0	0.0	9057.299999713898	9728
sub-pp155	1.0	0.0	5418.900000095367	8694
sub-pp155	0.0	1.0	8886.300000190735	34876
sub-pp155	1.0	0.0	4307.099999904633	68451
sub-pp155	0.0	1.0	20831.700000286102	817345
sub-pp155	0.0	1.0	10843.5	652487
