participant_id	rtt-sub_corr	rtt-sub_incorr	rtt-sub_RT
sub-pp124	1.0	0.0	1127.0999999642372
sub-pp124	1.0	0.0	1356.0
sub-pp124	1.0	0.0	1063.4000000357628
sub-pp124	1.0	0.0	1303.5
sub-pp124	1.0	0.0	1171.5
sub-pp124	1.0	0.0	1462.100000023842
sub-pp124	1.0	0.0	1152.399999976158
sub-pp124	1.0	0.0	1140.7000000476835
sub-pp124	0.0	1.0	2118.7999999523163
sub-pp124	1.0	0.0	2207.200000047684
sub-pp124	1.0	0.0	1312.2999999523165
sub-pp124	1.0	0.0	1249.300000011921
sub-pp124	1.0	0.0	1147.899999976158
sub-pp124	1.0	0.0	1184.0999999642372
sub-pp124	1.0	0.0	1299.300000011921
sub-pp124	1.0	0.0	1655.800000011921
sub-pp124	1.0	0.0	1577.699999988079
sub-pp124	0.0	1.0	1580.199999988079
sub-pp124	1.0	0.0	2182.2999999523163
sub-pp124	1.0	0.0	1489.600000023842
sub-pp124	1.0	0.0	1515.899999976158
sub-pp124	1.0	0.0	1715.800000011921
sub-pp124	1.0	0.0	1816.399999976158
sub-pp124	1.0	0.0	1424.5
sub-pp124	1.0	0.0	1260.800000011921
sub-pp124	1.0	0.0	1603.4000000357628
sub-pp124	1.0	0.0	2036.0
sub-pp124	1.0	0.0	1489.399999976158
sub-pp124	1.0	0.0	1813.9000000357628
sub-pp124	1.0	0.0	2434.5
sub-pp124	1.0	0.0	2143.399999976158
sub-pp124	1.0	0.0	1972.199999988079
sub-pp124	1.0	0.0	1707.100000023842
sub-pp124	1.0	0.0	1677.5999999642372
sub-pp124	1.0	0.0	1870.7999999523165
sub-pp124	0.0	1.0	3590.100000023842
