amma_corr	participant_id	amma_response
0.0	sub-pp085	R
0.0	sub-pp085	M
0.0	sub-pp085	I
0.0	sub-pp085	M
1.0	sub-pp085	M
1.0	sub-pp085	I
0.0	sub-pp085	R
1.0	sub-pp085	R
0.0	sub-pp085	M
1.0	sub-pp085	R
1.0	sub-pp085	M
1.0	sub-pp085	M
1.0	sub-pp085	I
0.0	sub-pp085	I
0.0	sub-pp085	M
0.0	sub-pp085	R
1.0	sub-pp085	R
1.0	sub-pp085	I
1.0	sub-pp085	M
1.0	sub-pp085	I
1.0	sub-pp085	R
0.0	sub-pp085	M
0.0	sub-pp085	I
0.0	sub-pp085	M
1.0	sub-pp085	M
0.0	sub-pp085	I
1.0	sub-pp085	I
0.0	sub-pp085	I
1.0	sub-pp085	I
0.0	sub-pp085	M
