amma_corr	participant_id	amma_response
1.0	sub-pp164	M
1.0	sub-pp164	I
0.0	sub-pp164	M
1.0	sub-pp164	R
0.0	sub-pp164	I
0.0	sub-pp164	R
0.0	sub-pp164	I
1.0	sub-pp164	R
0.0	sub-pp164	R
1.0	sub-pp164	R
1.0	sub-pp164	M
0.0	sub-pp164	I
0.0	sub-pp164	R
0.0	sub-pp164	I
1.0	sub-pp164	R
1.0	sub-pp164	M
1.0	sub-pp164	R
1.0	sub-pp164	I
0.0	sub-pp164	R
1.0	sub-pp164	I
0.0	sub-pp164	M
1.0	sub-pp164	I
0.0	sub-pp164	I
0.0	sub-pp164	R
1.0	sub-pp164	M
1.0	sub-pp164	R
0.0	sub-pp164	M
0.0	sub-pp164	M
1.0	sub-pp164	I
1.0	sub-pp164	R
