amma_corr	participant_id	amma_response
0.0	sub-pp105	I
0.0	sub-pp105	M
0.0	sub-pp105	M
1.0	sub-pp105	R
0.0	sub-pp105	I
1.0	sub-pp105	I
0.0	sub-pp105	R
1.0	sub-pp105	R
0.0	sub-pp105	R
0.0	sub-pp105	M
1.0	sub-pp105	M
1.0	sub-pp105	M
1.0	sub-pp105	I
0.0	sub-pp105	I
1.0	sub-pp105	R
1.0	sub-pp105	M
0.0	sub-pp105	M
0.0	sub-pp105	R
1.0	sub-pp105	M
1.0	sub-pp105	I
0.0	sub-pp105	M
0.0	sub-pp105	Je ne sais pas
0.0	sub-pp105	I
0.0	sub-pp105	R
1.0	sub-pp105	M
0.0	sub-pp105	I
0.0	sub-pp105	R
1.0	sub-pp105	R
1.0	sub-pp105	I
1.0	sub-pp105	R
