participant_id	digit-back_corr	digit-back_incorr	digit-back_RT	digit-back_response
sub-pp085	1.0	0.0	1568.10000000149	13
sub-pp085	1.0	0.0	1965.79999999702	42
sub-pp085	1.0	0.0	1758.9000000059605	64
sub-pp085	1.0	0.0	1856.3999999985097	75
sub-pp085	1.0	0.0	2110.10000000149	926
sub-pp085	1.0	0.0	2143.39999999851	574
sub-pp085	1.0	0.0	4567.10000000149	9728
sub-pp085	1.0	0.0	2728.10000000149	8694
sub-pp085	0.0	1.0	4672.69999999553	3586
sub-pp085	0.0	1.0	10879.19999999553	68351
sub-pp085	0.0	1.0	11423.10000000149	?
sub-pp085	1.0	0.0	8270.19999999553	658427
sub-pp085	0.0	1.0	20905.79999999702	264319
sub-pp085	0.0	1.0	14351.19999999553	826497
