amma_corr	participant_id	amma_response
1.0	sub-pp151	M
1.0	sub-pp151	I
0.0	sub-pp151	Je ne sais pas
0.0	sub-pp151	M
1.0	sub-pp151	M
1.0	sub-pp151	I
0.0	sub-pp151	R
1.0	sub-pp151	R
1.0	sub-pp151	I
1.0	sub-pp151	R
1.0	sub-pp151	M
1.0	sub-pp151	M
1.0	sub-pp151	I
0.0	sub-pp151	Je ne sais pas
0.0	sub-pp151	M
1.0	sub-pp151	M
1.0	sub-pp151	R
1.0	sub-pp151	I
1.0	sub-pp151	M
1.0	sub-pp151	I
1.0	sub-pp151	R
1.0	sub-pp151	I
0.0	sub-pp151	I
1.0	sub-pp151	I
0.0	sub-pp151	R
0.0	sub-pp151	M
1.0	sub-pp151	I
0.0	sub-pp151	Je ne sais pas
0.0	sub-pp151	R
0.0	sub-pp151	Je ne sais pas
