amma_corr	participant_id	amma_response
1.0	sub-pp133	M
1.0	sub-pp133	I
0.0	sub-pp133	M
1.0	sub-pp133	R
1.0	sub-pp133	M
1.0	sub-pp133	I
0.0	sub-pp133	I
0.0	sub-pp133	M
1.0	sub-pp133	I
0.0	sub-pp133	M
1.0	sub-pp133	M
0.0	sub-pp133	Je ne sais pas
1.0	sub-pp133	I
0.0	sub-pp133	R
0.0	sub-pp133	Je ne sais pas
0.0	sub-pp133	Je ne sais pas
1.0	sub-pp133	R
0.0	sub-pp133	M
0.0	sub-pp133	I
1.0	sub-pp133	I
1.0	sub-pp133	R
1.0	sub-pp133	I
0.0	sub-pp133	Je ne sais pas
1.0	sub-pp133	I
0.0	sub-pp133	I
0.0	sub-pp133	Je ne sais pas
1.0	sub-pp133	I
0.0	sub-pp133	M
1.0	sub-pp133	I
0.0	sub-pp133	I
