amma_corr	participant_id	amma_response
1.0	sub-pp169	M
1.0	sub-pp169	I
1.0	sub-pp169	R
0.0	sub-pp169	I
1.0	sub-pp169	M
0.0	sub-pp169	Je ne sais pas
1.0	sub-pp169	M
1.0	sub-pp169	R
1.0	sub-pp169	I
1.0	sub-pp169	R
0.0	sub-pp169	I
1.0	sub-pp169	M
1.0	sub-pp169	I
1.0	sub-pp169	M
0.0	sub-pp169	Je ne sais pas
1.0	sub-pp169	M
1.0	sub-pp169	R
0.0	sub-pp169	M
1.0	sub-pp169	M
1.0	sub-pp169	I
1.0	sub-pp169	R
0.0	sub-pp169	Je ne sais pas
0.0	sub-pp169	I
0.0	sub-pp169	M
0.0	sub-pp169	I
0.0	sub-pp169	M
1.0	sub-pp169	I
0.0	sub-pp169	I
1.0	sub-pp169	I
1.0	sub-pp169	R
