amma_corr	participant_id	amma_response
0.0	sub-pp013	I
1.0	sub-pp013	I
0.0	sub-pp013	M
1.0	sub-pp013	R
0.0	sub-pp013	I
1.0	sub-pp013	I
0.0	sub-pp013	Je ne sais pas
0.0	sub-pp013	I
1.0	sub-pp013	I
1.0	sub-pp013	R
1.0	sub-pp013	M
1.0	sub-pp013	M
1.0	sub-pp013	I
0.0	sub-pp013	I
0.0	sub-pp013	M
0.0	sub-pp013	Je ne sais pas
1.0	sub-pp013	R
1.0	sub-pp013	I
0.0	sub-pp013	I
1.0	sub-pp013	I
0.0	sub-pp013	M
0.0	sub-pp013	M
0.0	sub-pp013	R
1.0	sub-pp013	I
1.0	sub-pp013	M
0.0	sub-pp013	Je ne sais pas
0.0	sub-pp013	M
0.0	sub-pp013	Je ne sais pas
1.0	sub-pp013	I
0.0	sub-pp013	M
