amma_corr	participant_id	amma_response
0.0	sub-pp124	I
1.0	sub-pp124	I
1.0	sub-pp124	R
0.0	sub-pp124	M
0.0	sub-pp124	R
1.0	sub-pp124	I
0.0	sub-pp124	Je ne sais pas
1.0	sub-pp124	R
1.0	sub-pp124	I
1.0	sub-pp124	R
1.0	sub-pp124	M
1.0	sub-pp124	M
1.0	sub-pp124	I
1.0	sub-pp124	M
1.0	sub-pp124	R
1.0	sub-pp124	M
1.0	sub-pp124	R
1.0	sub-pp124	I
0.0	sub-pp124	Je ne sais pas
1.0	sub-pp124	I
0.0	sub-pp124	I
0.0	sub-pp124	R
1.0	sub-pp124	M
0.0	sub-pp124	M
0.0	sub-pp124	I
0.0	sub-pp124	Je ne sais pas
1.0	sub-pp124	I
1.0	sub-pp124	R
1.0	sub-pp124	I
0.0	sub-pp124	I
