participant_id	rtt-sub_corr	rtt-sub_incorr	rtt-sub_RT
sub-pp083	1.0	0.0	2497.5
sub-pp083	1.0	0.0	1773.7000000029802
sub-pp083	1.0	0.0	1519.0
sub-pp083	1.0	0.0	1785.6000000089407
sub-pp083	1.0	0.0	2706.0999999940395
sub-pp083	1.0	0.0	1787.7999999970198
sub-pp083	1.0	0.0	1767.2999999970198
sub-pp083	1.0	0.0	1682.1000000089407
sub-pp083	1.0	0.0	1881.8999999910595
sub-pp083	1.0	0.0	1991.5999999940395
sub-pp083	1.0	0.0	1448.699999988079
sub-pp083	1.0	0.0	1573.800000011921
sub-pp083	1.0	0.0	1177.3999999910593
sub-pp083	1.0	0.0	2090.9000000059605
sub-pp083	1.0	0.0	1581.5999999940395
sub-pp083	1.0	0.0	2764.79999999702
sub-pp083	1.0	0.0	3161.9000000059605
sub-pp083	1.0	0.0	2016.0
sub-pp083	1.0	0.0	2328.300000011921
sub-pp083	1.0	0.0	1573.0
sub-pp083	1.0	0.0	1527.5
sub-pp083	1.0	0.0	2442.0
sub-pp083	1.0	0.0	1700.699999988079
sub-pp083	1.0	0.0	1468.7000000029802
sub-pp083	1.0	0.0	1299.9000000059605
sub-pp083	1.0	0.0	1954.9000000059605
sub-pp083	1.0	0.0	3992.20000000298
sub-pp083	1.0	0.0	2159.0
sub-pp083	0.0	1.0	1856.5
