amma_corr	participant_id	amma_response
0.0	sub-pp072	I
1.0	sub-pp072	I
0.0	sub-pp072	M
0.0	sub-pp072	Je ne sais pas
0.0	sub-pp072	I
1.0	sub-pp072	I
0.0	sub-pp072	I
1.0	sub-pp072	R
1.0	sub-pp072	I
0.0	sub-pp072	M
0.0	sub-pp072	R
0.0	sub-pp072	Je ne sais pas
1.0	sub-pp072	I
0.0	sub-pp072	R
0.0	sub-pp072	M
1.0	sub-pp072	M
1.0	sub-pp072	R
0.0	sub-pp072	Je ne sais pas
0.0	sub-pp072	I
0.0	sub-pp072	R
0.0	sub-pp072	I
1.0	sub-pp072	I
0.0	sub-pp072	I
0.0	sub-pp072	R
0.0	sub-pp072	Je ne sais pas
0.0	sub-pp072	I
0.0	sub-pp072	R
1.0	sub-pp072	R
1.0	sub-pp072	I
1.0	sub-pp072	R
