participant_id	apm_corr	apm_incorr	apm_RT
sub-pp072	1.0	0.0	14541.29999923706
sub-pp072	1.0	0.0	9153.70000076294
sub-pp072	1.0	0.0	26028.80000114441
sub-pp072	0.0	1.0	18255.60000038147
sub-pp072	1.0	0.0	25319.5
sub-pp072	1.0	0.0	26655.10000038147
sub-pp072	1.0	0.0	40972.90000152588
sub-pp072	1.0	0.0	26476.30000114441
sub-pp072	1.0	0.0	19143.0
sub-pp072	1.0	0.0	30361.10000038147
sub-pp072	0.0	1.0	56258.10000038147
sub-pp072	0.0	1.0	42766.0
sub-pp072	1.0	0.0	60355.89999961853
sub-pp072	1.0	0.0	52917.5
sub-pp072	0.0	1.0	77047.60000038147
sub-pp072	0.0	1.0	101399.90000152588
sub-pp072	0.0	1.0	36780.09999847412
sub-pp072	0.0	1.0	122866.79999923706
sub-pp072	0.0	1.0	146982.3000011444
sub-pp072	0.0	1.0	76609.19999885559
sub-pp072	1.0	0.0	80387.10000038147
sub-pp072	1.0	0.0	41253.19999885559
sub-pp072	0.0	1.0	106107.29999923706
