participant_id	rtt-sum_corr	rtt-sum_incorr	rtt-sum_RT
sub-pp038	1.0	0.0	2377.0
sub-pp038	1.0	0.0	3671.0
sub-pp038	1.0	0.0	1601.0
sub-pp038	1.0	0.0	1944.0
sub-pp038	1.0	0.0	2632.0
sub-pp038	1.0	0.0	1706.0
sub-pp038	1.0	0.0	1794.0
sub-pp038	1.0	0.0	2453.0
sub-pp038	1.0	0.0	2155.0
sub-pp038	1.0	0.0	3438.0
sub-pp038	1.0	0.0	1513.0
sub-pp038	1.0	0.0	1518.0
sub-pp038	1.0	0.0	1595.0
sub-pp038	1.0	0.0	1883.0
sub-pp038	1.0	0.0	2137.0
sub-pp038	1.0	0.0	1624.0
sub-pp038	1.0	0.0	2183.0
sub-pp038	1.0	0.0	1539.0
sub-pp038	1.0	0.0	1704.0
sub-pp038	1.0	0.0	2357.0
sub-pp038	1.0	0.0	2113.0
sub-pp038	1.0	0.0	1822.0
sub-pp038	1.0	0.0	2099.0
sub-pp038	1.0	0.0	1806.0
sub-pp038	1.0	0.0	1587.0
sub-pp038	1.0	0.0	2158.0
sub-pp038	1.0	0.0	2327.0
sub-pp038	1.0	0.0	1682.0
sub-pp038	1.0	0.0	2396.0
sub-pp038	1.0	0.0	2054.0
sub-pp038	1.0	0.0	3908.0
sub-pp038	1.0	0.0	2273.0
sub-pp038	1.0	0.0	4764.0
sub-pp038	1.0	0.0	2293.0
sub-pp038	1.0	0.0	1857.0
sub-pp038	1.0	0.0	2113.0
sub-pp038	1.0	0.0	2830.0
