amma_corr	participant_id	amma_response
1.0	sub-pp038	M
1.0	sub-pp038	I
1.0	sub-pp038	R
0.0	sub-pp038	M
1.0	sub-pp038	M
0.0	sub-pp038	R
0.0	sub-pp038	R
0.0	sub-pp038	M
1.0	sub-pp038	I
1.0	sub-pp038	R
1.0	sub-pp038	M
1.0	sub-pp038	M
1.0	sub-pp038	I
1.0	sub-pp038	M
0.0	sub-pp038	M
1.0	sub-pp038	M
1.0	sub-pp038	R
1.0	sub-pp038	I
1.0	sub-pp038	M
1.0	sub-pp038	I
1.0	sub-pp038	R
0.0	sub-pp038	R
0.0	sub-pp038	I
1.0	sub-pp038	I
1.0	sub-pp038	M
0.0	sub-pp038	I
1.0	sub-pp038	I
0.0	sub-pp038	I
1.0	sub-pp038	I
0.0	sub-pp038	M
