amma_corr	participant_id	amma_response
0.0	sub-pp127	I
0.0	sub-pp127	R
0.0	sub-pp127	M
0.0	sub-pp127	I
1.0	sub-pp127	M
1.0	sub-pp127	I
0.0	sub-pp127	I
0.0	sub-pp127	I
0.0	sub-pp127	M
0.0	sub-pp127	M
0.0	sub-pp127	I
0.0	sub-pp127	R
1.0	sub-pp127	I
0.0	sub-pp127	I
0.0	sub-pp127	M
0.0	sub-pp127	R
0.0	sub-pp127	M
1.0	sub-pp127	I
0.0	sub-pp127	I
1.0	sub-pp127	I
0.0	sub-pp127	Je ne sais pas
0.0	sub-pp127	M
0.0	sub-pp127	I
0.0	sub-pp127	Je ne sais pas
0.0	sub-pp127	I
0.0	sub-pp127	Je ne sais pas
0.0	sub-pp127	R
0.0	sub-pp127	I
1.0	sub-pp127	I
0.0	sub-pp127	M
