amma_corr	participant_id	amma_response
0.0	sub-pp023	I
0.0	sub-pp023	M
1.0	sub-pp023	R
0.0	sub-pp023	M
0.0	sub-pp023	R
1.0	sub-pp023	I
1.0	sub-pp023	M
1.0	sub-pp023	R
1.0	sub-pp023	I
1.0	sub-pp023	R
1.0	sub-pp023	M
1.0	sub-pp023	M
1.0	sub-pp023	I
0.0	sub-pp023	I
1.0	sub-pp023	R
1.0	sub-pp023	M
1.0	sub-pp023	R
0.0	sub-pp023	M
1.0	sub-pp023	M
1.0	sub-pp023	I
1.0	sub-pp023	R
0.0	sub-pp023	Je ne sais pas
0.0	sub-pp023	I
1.0	sub-pp023	I
0.0	sub-pp023	R
0.0	sub-pp023	M
1.0	sub-pp023	I
0.0	sub-pp023	I
1.0	sub-pp023	I
0.0	sub-pp023	M
