amma_corr	participant_id	amma_response
1.0	sub-pp077	M
1.0	sub-pp077	I
1.0	sub-pp077	R
0.0	sub-pp077	Je ne sais pas
1.0	sub-pp077	M
1.0	sub-pp077	I
0.0	sub-pp077	I
1.0	sub-pp077	R
1.0	sub-pp077	I
1.0	sub-pp077	R
1.0	sub-pp077	M
1.0	sub-pp077	M
0.0	sub-pp077	Je ne sais pas
0.0	sub-pp077	R
1.0	sub-pp077	R
1.0	sub-pp077	M
1.0	sub-pp077	R
0.0	sub-pp077	M
1.0	sub-pp077	M
1.0	sub-pp077	I
1.0	sub-pp077	R
1.0	sub-pp077	I
1.0	sub-pp077	M
0.0	sub-pp077	Je ne sais pas
0.0	sub-pp077	I
0.0	sub-pp077	M
0.0	sub-pp077	M
0.0	sub-pp077	I
1.0	sub-pp077	I
0.0	sub-pp077	M
