participant_id	rtt-sub_corr	rtt-sub_incorr	rtt-sub_RT
sub-pp117	1.0	0.0	1902.0
sub-pp117	1.0	0.0	2410.0
sub-pp117	1.0	0.0	1739.0
sub-pp117	1.0	0.0	1831.0
sub-pp117	1.0	0.0	1867.0
sub-pp117	1.0	0.0	2549.0
sub-pp117	1.0	0.0	2158.0
sub-pp117	1.0	0.0	2309.0
sub-pp117	1.0	0.0	2260.0
sub-pp117	1.0	0.0	2451.0
sub-pp117	1.0	0.0	3384.0
sub-pp117	1.0	0.0	2086.0
sub-pp117	1.0	0.0	3107.0
sub-pp117	1.0	0.0	2837.0
sub-pp117	1.0	0.0	1951.0
sub-pp117	1.0	0.0	2446.0
sub-pp117	0.0	1.0	5417.0
sub-pp117	1.0	0.0	2358.0
sub-pp117	1.0	0.0	3720.0
sub-pp117	1.0	0.0	3506.0
sub-pp117	1.0	0.0	2294.0
sub-pp117	1.0	0.0	2484.0
sub-pp117	1.0	0.0	2435.0
