participant_id	apm_corr	apm_incorr	apm_RT
sub-pp052	1.0	0.0	11495.89999999851
sub-pp052	1.0	0.0	35474.09999999963
sub-pp052	1.0	0.0	31989.0
sub-pp052	1.0	0.0	22193.800000000745
sub-pp052	1.0	0.0	10682.39999999851
sub-pp052	0.0	1.0	18146.099999999627
sub-pp052	0.0	1.0	27905.5
sub-pp052	0.0	1.0	37755.40000000037
sub-pp052	0.0	1.0	30545.599999999627
sub-pp052	0.0	1.0	32466.099999999627
sub-pp052	1.0	0.0	27081.69999999925
sub-pp052	0.0	1.0	18740.099999999627
sub-pp052	0.0	1.0	36632.699999999255
sub-pp052	0.0	1.0	20227.19999999925
sub-pp052	0.0	1.0	41545.09999999963
sub-pp052	0.0	1.0	40906.60000000149
sub-pp052	0.0	1.0	47363.79999999888
sub-pp052	0.0	1.0	64907.800000000745
sub-pp052	0.0	1.0	39885.699999999255
sub-pp052	0.0	1.0	39467.0
sub-pp052	0.0	1.0	10722.0
sub-pp052	0.0	1.0	22581.599999999627
sub-pp052	0.0	1.0	20465.39999999851
