amma_corr	participant_id	amma_response
0.0	sub-pp021	I
1.0	sub-pp021	I
0.0	sub-pp021	M
0.0	sub-pp021	Je ne sais pas
0.0	sub-pp021	I
0.0	sub-pp021	Je ne sais pas
0.0	sub-pp021	Je ne sais pas
1.0	sub-pp021	R
1.0	sub-pp021	I
1.0	sub-pp021	R
1.0	sub-pp021	M
0.0	sub-pp021	Je ne sais pas
1.0	sub-pp021	I
0.0	sub-pp021	Je ne sais pas
0.0	sub-pp021	M
1.0	sub-pp021	M
1.0	sub-pp021	R
1.0	sub-pp021	I
0.0	sub-pp021	Je ne sais pas
1.0	sub-pp021	I
1.0	sub-pp021	R
0.0	sub-pp021	M
0.0	sub-pp021	I
1.0	sub-pp021	I
0.0	sub-pp021	Je ne sais pas
0.0	sub-pp021	M
1.0	sub-pp021	I
0.0	sub-pp021	M
1.0	sub-pp021	I
0.0	sub-pp021	M
