amma_corr	participant_id	amma_response
0.0	sub-pp043	Je ne sais pas
1.0	sub-pp043	I
1.0	sub-pp043	R
0.0	sub-pp043	I
1.0	sub-pp043	M
0.0	sub-pp043	Je ne sais pas
0.0	sub-pp043	I
0.0	sub-pp043	I
1.0	sub-pp043	I
1.0	sub-pp043	R
1.0	sub-pp043	M
1.0	sub-pp043	M
1.0	sub-pp043	I
1.0	sub-pp043	M
0.0	sub-pp043	M
1.0	sub-pp043	M
1.0	sub-pp043	R
1.0	sub-pp043	I
1.0	sub-pp043	M
1.0	sub-pp043	I
1.0	sub-pp043	R
0.0	sub-pp043	Je ne sais pas
1.0	sub-pp043	M
0.0	sub-pp043	Je ne sais pas
0.0	sub-pp043	I
0.0	sub-pp043	Je ne sais pas
1.0	sub-pp043	I
0.0	sub-pp043	M
1.0	sub-pp043	I
0.0	sub-pp043	Je ne sais pas
