amma_corr	participant_id	amma_response
1.0	sub-pp042	M
1.0	sub-pp042	I
1.0	sub-pp042	R
1.0	sub-pp042	R
0.0	sub-pp042	I
0.0	sub-pp042	M
0.0	sub-pp042	R
1.0	sub-pp042	R
1.0	sub-pp042	I
1.0	sub-pp042	R
0.0	sub-pp042	I
0.0	sub-pp042	I
1.0	sub-pp042	I
0.0	sub-pp042	I
0.0	sub-pp042	M
1.0	sub-pp042	M
1.0	sub-pp042	R
0.0	sub-pp042	R
0.0	sub-pp042	R
1.0	sub-pp042	I
0.0	sub-pp042	I
1.0	sub-pp042	I
0.0	sub-pp042	I
0.0	sub-pp042	R
0.0	sub-pp042	R
0.0	sub-pp042	I
0.0	sub-pp042	R
0.0	sub-pp042	I
1.0	sub-pp042	I
0.0	sub-pp042	Je ne sais pas
