participant_id	time_listen_week	time_listen_day	years_practice	years_practice_peak	last_time_played	mus_edu_level	other_mus_edu	mus_exam	mus_engagement_inspiration	mus_engagement_difficultpieces	mus_engagement_connection	mus_engagement_physicalexercise	mus_engagement_relaxation	mus_engagement_gratification	mus_engagement_newmusic	mus_engagement_group_practice	mus_engagement_reflection	mus_engagement_selfimage	mus_engagement_group_identification	mus_engagement_emotion_expression	mus_engagement_music_when_depressed	mus_engagement_good_in_group	mus_engagement_social_connection	mus_engagement_physicalexercise_long	mus_engagement_relief	mus_engagement_improvisation	mus_engagement_dance	mus_engagement_recognition	mus_engagement_practice	mus_engagement_help_difficulties	mus_engagement_theory	mus_engagement_physical_endurance	cognitive_and_emotional_regulation	dance	engaged_production	ind_mus_train_imt	ind_mus_listening_iml	mus_instr_play_imip	physical_exercise	social_connection
sub-pp001	4	1	0.0	0.0	1	2	0	0	5	1	5	4	5	1	4	5	4	1	4	5	5	1	2	5	5	1	5	1	1	4	1	5	32	10	13	2	4	0.0	14	11
sub-pp003	5	2	15.0	1.0	8	2	2	0	6	4	4	5	6	6	5	4	2	4	4	1	6	1	4	4	6	1	1	1	5	6	3	4	37	2	29	4	10	1.875	13	12
sub-pp004	5	3	0.0	0.0	1	2	0	0	5	3	5	5	5	1	2	2	4	2	2	5	5	5	3	5	5	3	4	2	2	3	2	2	29	9	22	2	15	0.0	12	10
sub-pp005	5	4	2.0	6.0	32	2	1	0	5	1	6	6	6	6	5	6	5	1	6	5	6	1	5	6	6	1	1	1	1	1	1	1	34	6	19	3	20	0.375	13	17
sub-pp006	5	5	8.0	1.0	32	2	2	0	4	1	4	6	5	1	5	1	5	1	2	1	6	1	2	6	5	1	1	1	1	3	1	1	33	2	9	4	25	0.25	13	8
sub-pp007	4	2	0.5	1.0	8	2	2	0	4	3	5	5	4	6	3	5	5	5	4	3	4	1	3	4	5	1	3	1	4	4	4	2	29	6	30	4	8	0.0625	11	12
sub-pp008	5	2	0.0	0.0	1	0	0	0	5	1	6	6	6	1	6	1	6	1	6	3	6	1	5	6	6	1	2	1	1	6	1	5	41	5	9	0	10	0.0	17	17
sub-pp009	5	3	0.0	0.0	1	1	0	0	5	1	2	6	6	1	5	4	5	1	2	2	6	1	3	6	6	1	3	1	1	6	1	6	39	5	12	1	15	0.0	18	7
sub-pp010	5	2	6.0	2.0	8	0	1	0	5	3	2	2	4	5	3	4	4	2	2	1	3	2	2	1	3	2	1	1	5	2	1	1	24	2	25	1	10	1.5	4	6
sub-pp011	5	3	10.0	2.0	16	2	3	1	2	2	2	5	6	5	1	1	4	1	2	3	6	1	2	4	6	1	1	1	1	6	1	1	31	4	14	6	15	1.25	10	6
sub-pp012	1	1	0.0	0.0	1	0	0	0	5	1	5	5	1	1	1	1	2	1	3	2	6	1	3	6	6	1	1	1	1	5	1	5	26	3	9	0	1	0.0	16	11
sub-pp013	5	3	0.0	0.0	1	0	0	0	5	1	6	6	5	1	5	1	6	1	6	2	6	1	6	6	5	1	2	1	1	5	1	4	37	4	9	0	15	0.0	16	18
sub-pp018	5	3	0.0	0.0	1	0	0	0	6	1	5	6	5	1	5	1	6	1	6	2	6	1	4	6	6	1	2	1	1	1	1	6	35	4	9	0	15	0.0	18	15
