participant_id	lang_important	lang_important_culture1	lang_important_career	likelihood_initiate_fl_presentation	likelihood_initiate_fl_acquaintance_inpublic	likelihood_initiate_fl_shop	likelihood_initiate_fl_strangers_group	likelihood_initiate_fl_friend_inpublic	likelihood_initiate_fl_stranger_inpublic	likelihood_initiate_fl_acquaintances_group	likelihood_initiate_fl_friends_group	confidence_learn_fl	lang_important_culture2	likelihood_fl_bettercareer	necessity_fl_futureplans	likelihood_fl_meetfriends	nervous_use_fl	study_fl_travel	lang_important_culture3	imagine_self_good_at_fl	desire_learn_fl_international_contact1	desire_learn_fl_forpleasure1	nervous_speak_with_native	desire_learn_fl_international_contact2	desire_learn_fl_travel	imagine_use_fl_international_context	importance_fl_future	importance_fl_international_contact	desire_learn_fl_future	nervous_fl_give_indications	desire_learn_fl_forpleasure2	environment_despise_fl	environment_like_fl	environment_notimportant_fl	personal_notimportant_fl	personal_difficult_fl	personal_nervous_speak_fl	personal_deprecate_knowledge_fl	ideal_l2_self	instrumentality	intl_contact	l2_interest	l2_anxiety	l2_confidence	milieu	usage_willingness
sub-pp001	5	5	5	4	4	4	4	4	4	4	4	5	4	4	4	5	2	5	5	2	5	4	3	4	5	4	5	4	5	3	4	5	5	5	5	3	3	3	80.0	93.33333333333331	90.0	90.0	53.33333333333334	70.0	100	80.0
sub-pp003	5	5	5	4	5	5	4	5	4	5	5	5	3	4	3	5	2	5	5	4	5	5	2	5	5	5	5	5	5	2	5	4	5	4	5	5	5	3	88.0	90.0	100.0	100.0	40.0	90.0	90	92.5
sub-pp004	5	4	5	4	3	4	4	3	3	4	4	4	4	4	4	4	2	4	4	4	5	5	3	5	4	4	4	4	4	3	4	4	4	4	4	4	4	4	80.0	86.66666666666667	90.0	85.0	53.33333333333334	80.0	80	72.5
sub-pp005	5	5	5	5	5	5	5	5	5	5	5	5	3	5	5	4	4	5	4	2	4	4	3	5	5	4	5	2	4	3	2	5	5	5	3	5	2	1	80.0	90.0	75.0	80.0	66.66666666666666	65.0	90	100.0
sub-pp006	5	4	4	1	2	4	1	1	1	3	3	5	2	4	3	2	3	4	2	1	2	3	2	4	4	2	3	2	1	2	1	5	5	5	5	4	3	2	40.0	70.0	50.0	60.0	46.66666666666666	70.0	100	40.0
sub-pp007	4	5	5	3	4	4	4	4	3	4	4	4	3	5	5	5	2	5	4	4	5	5	1	5	4	5	5	5	5	2	5	5	5	4	4	4	4	3	96.0	86.66666666666667	100.0	95.0	33.33333333333333	75.0	90	75.0
sub-pp008	5	5	5	2	3	3	1	5	1	2	4	5	4	5	5	5	2	5	5	4	5	4	2	5	5	4	5	4	4	3	5	5	5	5	5	4	3	3	88.0	96.66666666666669	95.0	95.0	46.66666666666666	75.0	100	52.5
sub-pp009	5	5	4	3	5	5	4	5	2	5	5	4	4	4	3	3	3	5	5	3	5	4	3	5	5	5	4	4	5	3	2	5	5	5	4	2	4	4	80.0	90.0	85.0	80.0	60.0	70.0	95	85.0
sub-pp010	5	2	4	1	3	4	4	4	3	3	4	4	1	4	3	3	2	3	1	2	2	3	2	3	4	2	3	3	2	2	3	4	4	4	5	3	4	4	48.0	56.66666666666666	55.00000000000001	65.0	40.0	75.0	85	65.0
sub-pp011	5	4	5	4	5	5	4	5	4	5	5	3	2	4	4	4	3	5	3	2	5	4	3	5	5	5	5	4	5	2	5	3	2	4	4	3	3	1	84.0	76.66666666666667	90.0	95.0	53.33333333333334	50.0	65	92.5
sub-pp012	4	5	5	4	4	4	4	4	2	4	4	4	4	4	3	4	2	4	4	4	4	4	4	4	4	5	4	3	4	2	4	4	4	2	5	3	2	2	80.0	86.66666666666667	75.0	80.0	53.33333333333334	55.00000000000001	75	75.0
sub-pp013	5	5	5	5	5	5	5	5	5	5	5	5	3	5	5	5	4	4	4	3	4	5	2	4	5	5	5	4	5	4	3	5	5	5	5	4	4	1	92.0	90.0	85.0	85.0	66.66666666666666	70.0	100	100.0
sub-pp018	5	4	5	4	4	5	4	4	2	4	4	5	4	5	5	5	2	5	4	3	5	4	1	5	5	4	5	5	4	4	4	5	5	5	5	4	4	4	84.0	90.0	100.0	90.0	46.66666666666666	85.0	100	77.5
sub-pp019	4	4	5	4	4	2	4	4	2	2	2	4	4	4	3	4	4	4	4	3	4	2	4	4	4	4	4	4	3	3	3	4	4	4	4	3	2	2	68.0	83.33333333333334	80.0	65.0	73.33333333333333	55.00000000000001	80	60.0
sub-pp020	5	5	5	4	5	5	5	5	5	5	5	4	4	3	5	5	1	5	5	4	5	3	1	5	4	5	4	5	3	1	4	5	4	4	5	5	5	5	84.0	90.0	100.0	80.0	20.0	95.0	90	97.5
