participant_id	nlang	swt_situations	swt_subj	swt_convo	swt_vol	swt_invol	swt_unconsc	swt_vol_reversed	swt_score_cs	swt_score_us
sub-pp001	3.0	3.0	3.0	2.0	4.0	2.0	2.0	2.0	8.0	6.0
sub-pp003	8.0	3.0	2.0	2.0	4.0	1.0	1.0	2.0	7.0	4.0
sub-pp004	4.0	5.0	5.0	5.0	5.0	5.0	3.0	1.0	15.0	9.0
sub-pp005	8.0	4.0	5.0	5.0	3.0	3.0	1.0	3.0	14.0	7.0
sub-pp006	3.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	3.0	3.0
sub-pp007	4.0	3.0	2.0	2.0	5.0	1.0	1.0	1.0	7.0	3.0
sub-pp008	4.0	4.0	2.0	3.0	4.0	2.0	1.0	2.0	9.0	5.0
sub-pp009	4.0	2.0	2.0	1.0	4.0	2.0	1.0	2.0	5.0	5.0
sub-pp010	3.0	1.0	2.0	1.0	5.0	1.0	1.0	1.0	4.0	3.0
sub-pp011	8.0	4.0	4.0	5.0	2.0	4.0	2.0	4.0	13.0	10.0
sub-pp012	7.0	3.0	4.0	3.0	4.0	1.0	1.0	2.0	10.0	4.0
sub-pp013	3.0	3.0	3.0	4.0	3.0	2.0	1.0	3.0	10.0	6.0
sub-pp018	3.0	2.0	2.0	2.0	5.0	1.0	1.0	1.0	6.0	3.0
sub-pp019	5.0	4.0	4.0	4.0	4.0	2.0	1.0	2.0	12.0	5.0
sub-pp020	4.0	3.0	3.0	2.0	4.0	2.0	1.0	2.0	8.0	5.0
sub-pp021	4.0	3.0	4.0	2.0	4.0	1.0	1.0	2.0	9.0	4.0
sub-pp022	4.0	1.0	2.0	3.0	4.0	1.0	1.0	2.0	6.0	4.0
sub-pp023	5.0	3.0	3.0	2.0	5.0	2.0	1.0	1.0	8.0	4.0
sub-pp024	4.0	2.0	3.0	2.0	4.0	2.0	3.0	2.0	7.0	7.0
sub-pp025	5.0	2.0	1.0	1.0	5.0	1.0	1.0	1.0	4.0	3.0
sub-pp026	10.0	2.0	2.0	2.0	2.0	1.0	3.0	4.0	6.0	8.0
sub-pp027	6.0	5.0	4.0	4.0	3.0	2.0	3.0	3.0	13.0	8.0
sub-pp030	5.0	5.0	4.0	5.0	3.0	3.0	1.0	3.0	14.0	7.0
sub-pp031	6.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	12.0	9.0
sub-pp032	5.0	5.0	5.0	3.0	3.0	2.0	2.0	3.0	13.0	7.0
sub-pp033	5.0	2.0	1.0	2.0	5.0	1.0	1.0	1.0	5.0	3.0
sub-pp035	3.0	4.0	3.0	2.0	5.0	1.0	1.0	1.0	9.0	3.0
sub-pp036	6.0	5.0	5.0	5.0	4.0	2.0	3.0	2.0	15.0	7.0
sub-pp038	3.0	3.0	1.0	2.0	5.0	1.0	1.0	1.0	6.0	3.0
sub-pp039	6.0	4.0	4.0	3.0	4.0	2.0	1.0	2.0	11.0	5.0
sub-pp042	5.0	3.0	3.0	2.0	4.0	2.0	1.0	2.0	8.0	5.0
sub-pp043	6.0	2.0	2.0	2.0	4.0	1.0	1.0	2.0	6.0	4.0
sub-pp044	6.0	2.0	3.0	2.0	5.0	1.0	1.0	1.0	7.0	3.0
sub-pp045	4.0	4.0	3.0	3.0	5.0	1.0	1.0	1.0	10.0	3.0
sub-pp046	7.0	4.0	4.0	4.0	3.0	3.0	1.0	3.0	12.0	7.0
sub-pp048	5.0	5.0	2.0	3.0	5.0	1.0	1.0	1.0	10.0	3.0
sub-pp050	2.0	2.0	2.0	2.0	3.0	2.0	1.0	3.0	6.0	6.0
sub-pp052	5.0	5.0	5.0	4.0	5.0	1.0	1.0	1.0	14.0	3.0
sub-pp053	8.0	2.0	3.0	2.0	5.0	1.0	1.0	1.0	7.0	3.0
sub-pp054	3.0	2.0	3.0	1.0	4.0	1.0	2.0	2.0	6.0	5.0
sub-pp067	4.0	4.0	1.0	2.0	4.0	3.0	2.0	2.0	7.0	7.0
sub-pp068	5.0	4.0	3.0	1.0	4.0	2.0	2.0	2.0	8.0	6.0
sub-pp069	4.0	5.0	5.0	4.0	3.0	2.0	2.0	3.0	14.0	7.0
sub-pp072	3.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	3.0	3.0
sub-pp073	3.0	4.0	2.0	1.0	5.0	1.0	1.0	1.0	7.0	3.0
sub-pp074	3.0	2.0	2.0	2.0	5.0	2.0	1.0	1.0	6.0	4.0
sub-pp076	5.0	4.0	4.0	3.0	5.0	1.0	1.0	1.0	11.0	3.0
sub-pp077	6.0	2.0	2.0	2.0	1.0	1.0	1.0	5.0	6.0	7.0
sub-pp078	3.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	3.0	3.0
sub-pp083	7.0	2.0	3.0	2.0	4.0	2.0	2.0	2.0	7.0	6.0
sub-pp085	3.0	1.0	2.0	2.0	4.0	1.0	1.0	2.0	5.0	4.0
sub-pp088	7.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	3.0	3.0
sub-pp091	6.0	3.0	3.0	2.0	4.0	1.0	1.0	2.0	8.0	4.0
sub-pp092	5.0	3.0	3.0	1.0	5.0	1.0	1.0	1.0	7.0	3.0
sub-pp093	5.0	1.0	2.0	2.0	5.0	1.0	1.0	1.0	5.0	3.0
sub-pp094	8.0	5.0	4.0	5.0	4.0	4.0	3.0	2.0	14.0	9.0
sub-pp095	3.0	3.0	1.0	1.0	1.0	1.0	1.0	5.0	5.0	7.0
sub-pp099	4.0	5.0	4.0	5.0	2.0	4.0	5.0	4.0	14.0	13.0
sub-pp105	4.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	3.0	3.0
sub-pp106	5.0	4.0	4.0	4.0	4.0	2.0	1.0	2.0	12.0	5.0
sub-pp107	2.0	4.0	4.0	4.0	2.0	1.0	2.0	4.0	12.0	7.0
sub-pp108	4.0	2.0	2.0	3.0	5.0	1.0	1.0	1.0	7.0	3.0
sub-pp110	6.0	2.0	3.0	2.0	2.0	4.0	1.0	4.0	7.0	9.0
sub-pp111	4.0	3.0	1.0	1.0	5.0	1.0	1.0	1.0	5.0	3.0
sub-pp112	5.0	1.0	1.0	2.0	4.0	1.0	1.0	2.0	4.0	4.0
sub-pp114	4.0	2.0	3.0	2.0	5.0	1.0	2.0	1.0	7.0	4.0
sub-pp115	4.0	4.0	3.0	2.0	2.0	1.0	1.0	4.0	9.0	6.0
sub-pp116	4.0	4.0	4.0	2.0	5.0	4.0	2.0	1.0	10.0	7.0
sub-pp117	4.0	1.0	1.0	1.0	5.0	2.0	1.0	1.0	3.0	4.0
sub-pp118	3.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	3.0	3.0
sub-pp119	13.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	6.0	6.0
sub-pp120	3.0	2.0	1.0	1.0	5.0	1.0	1.0	1.0	4.0	3.0
sub-pp124	4.0	2.0	1.0	2.0	4.0	1.0	1.0	2.0	5.0	4.0
sub-pp125	5.0	3.0	4.0	3.0	2.0	4.0	2.0	4.0	10.0	10.0
sub-pp126	4.0	3.0	4.0	1.0	5.0	1.0	1.0	1.0	8.0	3.0
sub-pp127	6.0	3.0	3.0	2.0	3.0	1.0	1.0	3.0	8.0	5.0
sub-pp128	1.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-pp129	7.0	3.0	3.0	4.0	4.0	2.0	1.0	2.0	10.0	5.0
sub-pp133	8.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	3.0	3.0
sub-pp135	4.0	4.0	1.0	2.0	5.0	1.0	1.0	1.0	7.0	3.0
sub-pp137	4.0	4.0	5.0	4.0	3.0	1.0	1.0	3.0	13.0	5.0
sub-pp145	3.0	1.0	1.0	1.0	2.0	1.0	1.0	4.0	3.0	6.0
sub-pp147	3.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	3.0	3.0
sub-pp149	4.0	4.0	4.0	3.0	5.0	1.0	1.0	1.0	11.0	3.0
sub-pp150	5.0	4.0	4.0	4.0	4.0	3.0	2.0	2.0	12.0	7.0
sub-pp151	4.0	3.0	3.0	2.0	2.0	1.0	2.0	4.0	8.0	7.0
sub-pp152	4.0	2.0	1.0	1.0	5.0	1.0	1.0	1.0	4.0	3.0
sub-pp155	5.0	4.0	4.0	4.0	2.0	3.0	1.0	4.0	12.0	8.0
sub-pp156	4.0	3.0	3.0	4.0	2.0	2.0	2.0	4.0	10.0	8.0
sub-pp158	3.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	6.0	6.0
sub-pp159	4.0	5.0	5.0	5.0	4.0	2.0	1.0	2.0	15.0	5.0
sub-pp160	3.0	2.0	2.0	3.0	4.0	4.0	2.0	2.0	7.0	8.0
sub-pp161	6.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	3.0	3.0
sub-pp162	5.0	5.0	1.0	4.0	1.0	5.0	4.0	5.0	10.0	14.0
sub-pp163	3.0	1.0	2.0	1.0	5.0	1.0	1.0	1.0	4.0	3.0
sub-pp164	5.0	3.0	4.0	3.0	5.0	1.0	1.0	1.0	10.0	3.0
sub-pp166	4.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	3.0	3.0
sub-pp168	3.0	1.0	1.0	1.0	3.0	2.0	1.0	3.0	3.0	6.0
