participant_id	visual_memory_evoke	visual_memory_autobiographical	visual_images_clarity	visual_images_over_words	visual_images_people	visual_images_to_memorize	visual_memories_prevalence	visual_images_thoughts	visual_images_inner_talk	visual_memory_fixed	verbal_reflection_innervoice	verbal_reflection_innervoice_walk	verbal_reflection_past_conversations	verbal_innervoice_help_thoughts	verbal_reflection_at_rest	verbal_reflection_societal_issue	verbal_reflection_pauses_tothink	verbal_reflection_innervoice_innerear	verbal_reflection_never_talk	verbal_reflection_tv	verbal_memories_prevalence	verbal_read_innervoice_innerear	orto_conversation_visualizewords	orto_reflection_visualizewords	orto_newperson_imaginename	orto_memories_imaginewords	verbal_reflection_liferecap	message_imagine_reply	geo_3d_shapes	sentence_slow_imagine_innerear	geo_school_grade	sensation_imagine	geo_problem_visualise	voice_morph	lexicon_rich	sound_morph	manipulationfactor	visualfactor	verbalfactor	orthographicfactor
sub-pp001	4	4	5	4	4	4	4	4	4	4	2	2	4	4	4	3	2	3	3	2	3	4	2	2	2	4	2	4	4	4	4	4	4	3	4	3	3.75	4.1	3.0	2.6666666666666665
sub-pp003	5	5	5	3	4	4	4	4	2	2	5	5	3	5	5	5	5	5	4	3	5	5	5	5	5	4	2	2	2	3	4	5	3	4	5	5	3.875	3.8	4.583333333333333	3.8333333333333335
sub-pp004	4	4	4	4	4	4	4	4	4	3	4	3	3	3	4	4	4	2	4	2	2	2	2	2	3	3	2	2	2	3	4	2	3	3	3	3	2.875	3.9	3.083333333333333	2.333333333333333
sub-pp005	5	5	4	4	5	5	2	5	5	5	5	5	5	5	3	5	4	4	4	4	4	5	5	5	4	1	1	2	4	4	2	5	5	2	2	5	3.625	4.5	4.416666666666667	3.0
sub-pp006	4	4	3	4	3	4	2	5	2	3	2	3	3	2	3	4	4	4	2	2	2	4	1	1	1	1	1	1	5	5	4	4	5	2	3	3	3.875	3.4	2.9166666666666665	1.0
sub-pp007	4	4	3	4	3	4	5	5	3	2	4	2	3	3	2	4	3	5	4	2	4	5	4	4	3	5	2	2	4	3	3	4	3	5	3	4	3.625	3.7	3.4166666666666665	3.333333333333333
sub-pp008	5	5	5	3	5	5	5	4	5	5	5	5	5	4	5	5	4	5	3	3	4	4	2	2	1	5	3	5	5	4	4	4	5	4	3	4	4.125	4.7	4.333333333333333	3.0
sub-pp009	4	4	2	2	4	2	2	1	1	1	4	5	3	1	4	5	2	5	1	4	2	5	1	1	1	4	2	4	5	1	5	5	5	4	3	2	3.75	2.3	3.4166666666666665	2.1666666666666665
sub-pp010	5	5	4	3	5	5	3	3	3	2	4	3	4	4	3	3	2	3	1	2	2	3	1	1	2	1	1	4	4	3	3	5	5	5	4	5	4.25	3.8	2.833333333333333	1.6666666666666667
sub-pp011	3	4	3	4	5	4	4	3	4	3	5	3	4	4	4	5	4	5	4	5	3	5	5	4	5	4	4	5	3	5	2	2	3	4	3	5	3.375	3.7	4.25	4.5
sub-pp012	2	5	4	4	5	4	4	3	4	2	3	5	2	5	1	4	5	5	1	2	2	4	1	3	3	4	2	4	1	3	1	4	1	2	5	3	2.5	3.7	3.25	2.833333333333333
