amma_corr	participant_id	amma_response
0.0	sub-pp093	I
1.0	sub-pp093	I
0.0	sub-pp093	M
0.0	sub-pp093	M
1.0	sub-pp093	M
1.0	sub-pp093	I
1.0	sub-pp093	M
1.0	sub-pp093	R
1.0	sub-pp093	I
1.0	sub-pp093	R
1.0	sub-pp093	M
0.0	sub-pp093	I
1.0	sub-pp093	I
0.0	sub-pp093	I
1.0	sub-pp093	R
1.0	sub-pp093	M
1.0	sub-pp093	R
1.0	sub-pp093	I
0.0	sub-pp093	R
1.0	sub-pp093	I
1.0	sub-pp093	R
1.0	sub-pp093	I
0.0	sub-pp093	I
1.0	sub-pp093	I
0.0	sub-pp093	R
0.0	sub-pp093	I
1.0	sub-pp093	I
0.0	sub-pp093	I
0.0	sub-pp093	M
0.0	sub-pp093	M
