participant_id	rtt-sub_corr	rtt-sub_incorr	rtt-sub_RT
sub-pp093	1.0	0.0	1608.0
sub-pp093	1.0	0.0	2235.0
sub-pp093	1.0	0.0	1152.0
sub-pp093	1.0	0.0	1284.0
sub-pp093	1.0	0.0	1351.0
sub-pp093	1.0	0.0	1775.0
sub-pp093	1.0	0.0	1328.0
sub-pp093	1.0	0.0	2424.0
sub-pp093	1.0	0.0	1544.0
sub-pp093	1.0	0.0	2089.0
sub-pp093	1.0	0.0	2154.0
sub-pp093	1.0	0.0	1881.0
sub-pp093	1.0	0.0	1185.0
sub-pp093	1.0	0.0	1721.0
sub-pp093	1.0	0.0	1671.0
sub-pp093	1.0	0.0	1764.0
sub-pp093	1.0	0.0	6123.0
sub-pp093	1.0	0.0	1866.0
sub-pp093	1.0	0.0	5557.0
sub-pp093	1.0	0.0	3010.0
sub-pp093	1.0	0.0	1804.0
sub-pp093	1.0	0.0	1570.0
sub-pp093	0.0	1.0	2188.0
sub-pp093	1.0	0.0	1954.0
sub-pp093	1.0	0.0	2322.0
sub-pp093	0.0	1.0	3284.0
