amma_corr	participant_id	amma_response
0.0	sub-pp116	I
1.0	sub-pp116	I
1.0	sub-pp116	R
0.0	sub-pp116	M
0.0	sub-pp116	I
0.0	sub-pp116	Je ne sais pas
0.0	sub-pp116	I
1.0	sub-pp116	R
0.0	sub-pp116	M
0.0	sub-pp116	Je ne sais pas
1.0	sub-pp116	M
0.0	sub-pp116	I
0.0	sub-pp116	R
1.0	sub-pp116	M
1.0	sub-pp116	R
0.0	sub-pp116	Je ne sais pas
0.0	sub-pp116	M
1.0	sub-pp116	I
1.0	sub-pp116	M
1.0	sub-pp116	I
0.0	sub-pp116	I
0.0	sub-pp116	R
1.0	sub-pp116	M
0.0	sub-pp116	M
0.0	sub-pp116	R
0.0	sub-pp116	I
1.0	sub-pp116	I
0.0	sub-pp116	I
1.0	sub-pp116	I
0.0	sub-pp116	I
