amma_corr	participant_id	amma_response
0.0	sub-pp073	R
1.0	sub-pp073	I
0.0	sub-pp073	M
0.0	sub-pp073	I
1.0	sub-pp073	M
1.0	sub-pp073	I
1.0	sub-pp073	M
1.0	sub-pp073	R
1.0	sub-pp073	I
1.0	sub-pp073	R
1.0	sub-pp073	M
1.0	sub-pp073	M
1.0	sub-pp073	I
1.0	sub-pp073	M
1.0	sub-pp073	R
1.0	sub-pp073	M
1.0	sub-pp073	R
1.0	sub-pp073	I
1.0	sub-pp073	M
1.0	sub-pp073	I
1.0	sub-pp073	R
1.0	sub-pp073	I
1.0	sub-pp073	M
1.0	sub-pp073	I
0.0	sub-pp073	R
0.0	sub-pp073	Je ne sais pas
1.0	sub-pp073	I
0.0	sub-pp073	I
1.0	sub-pp073	I
1.0	sub-pp073	R
