amma_corr	participant_id	amma_response
0.0	sub-pp078	I
1.0	sub-pp078	I
1.0	sub-pp078	R
1.0	sub-pp078	R
0.0	sub-pp078	I
1.0	sub-pp078	I
0.0	sub-pp078	Je ne sais pas
1.0	sub-pp078	R
1.0	sub-pp078	I
1.0	sub-pp078	R
1.0	sub-pp078	M
1.0	sub-pp078	M
1.0	sub-pp078	I
1.0	sub-pp078	M
0.0	sub-pp078	Je ne sais pas
1.0	sub-pp078	M
1.0	sub-pp078	R
1.0	sub-pp078	I
1.0	sub-pp078	M
1.0	sub-pp078	I
0.0	sub-pp078	Je ne sais pas
0.0	sub-pp078	R
0.0	sub-pp078	I
1.0	sub-pp078	I
0.0	sub-pp078	R
0.0	sub-pp078	Je ne sais pas
1.0	sub-pp078	I
0.0	sub-pp078	I
0.0	sub-pp078	M
0.0	sub-pp078	Je ne sais pas
