amma_corr	participant_id	amma_response
0.0	sub-pp120	I
1.0	sub-pp120	I
1.0	sub-pp120	R
0.0	sub-pp120	M
0.0	sub-pp120	I
1.0	sub-pp120	I
0.0	sub-pp120	I
0.0	sub-pp120	Je ne sais pas
0.0	sub-pp120	M
1.0	sub-pp120	R
1.0	sub-pp120	M
1.0	sub-pp120	M
1.0	sub-pp120	I
1.0	sub-pp120	M
0.0	sub-pp120	Je ne sais pas
1.0	sub-pp120	M
1.0	sub-pp120	R
1.0	sub-pp120	I
0.0	sub-pp120	R
1.0	sub-pp120	I
1.0	sub-pp120	R
0.0	sub-pp120	M
1.0	sub-pp120	M
0.0	sub-pp120	M
1.0	sub-pp120	M
1.0	sub-pp120	R
1.0	sub-pp120	I
0.0	sub-pp120	I
1.0	sub-pp120	I
0.0	sub-pp120	M
