amma_corr	participant_id	amma_response
0.0	sub-pp126	R
1.0	sub-pp126	I
1.0	sub-pp126	R
0.0	sub-pp126	M
1.0	sub-pp126	M
0.0	sub-pp126	R
0.0	sub-pp126	Je ne sais pas
0.0	sub-pp126	M
1.0	sub-pp126	I
0.0	sub-pp126	Je ne sais pas
0.0	sub-pp126	I
0.0	sub-pp126	R
1.0	sub-pp126	I
0.0	sub-pp126	I
0.0	sub-pp126	Je ne sais pas
1.0	sub-pp126	M
0.0	sub-pp126	M
1.0	sub-pp126	I
0.0	sub-pp126	R
1.0	sub-pp126	I
1.0	sub-pp126	R
1.0	sub-pp126	I
0.0	sub-pp126	Je ne sais pas
0.0	sub-pp126	Je ne sais pas
0.0	sub-pp126	I
0.0	sub-pp126	I
0.0	sub-pp126	Je ne sais pas
0.0	sub-pp126	I
1.0	sub-pp126	I
0.0	sub-pp126	M
