participant_id	digit-back_corr	digit-back_incorr	digit-back_RT	digit-back_response
sub-pp126	1.0	0.0	2621.0	13
sub-pp126	1.0	0.0	1732.0	42
sub-pp126	1.0	0.0	2037.5	64
sub-pp126	1.0	0.0	1667.600000023842	75
sub-pp126	1.0	0.0	3645.300000011921	926
sub-pp126	1.0	0.0	2941.400000035763	574
sub-pp126	1.0	0.0	3578.800000011921	9728
sub-pp126	1.0	0.0	10163.399999976158	8694
sub-pp126	0.0	1.0	4853.800000011921	34875
sub-pp126	1.0	0.0	4636.700000047684	68451
sub-pp126	0.0	1.0	8010.699999988079	814763
sub-pp126	0.0	1.0	5858.0	648257
