amma_corr	participant_id	amma_response
0.0	sub-pp035	I
1.0	sub-pp035	I
1.0	sub-pp035	R
0.0	sub-pp035	I
1.0	sub-pp035	M
1.0	sub-pp035	I
0.0	sub-pp035	Je ne sais pas
1.0	sub-pp035	R
1.0	sub-pp035	I
1.0	sub-pp035	R
1.0	sub-pp035	M
0.0	sub-pp035	Je ne sais pas
0.0	sub-pp035	M
0.0	sub-pp035	I
0.0	sub-pp035	Je ne sais pas
1.0	sub-pp035	M
1.0	sub-pp035	R
1.0	sub-pp035	I
0.0	sub-pp035	R
1.0	sub-pp035	I
1.0	sub-pp035	R
0.0	sub-pp035	Je ne sais pas
0.0	sub-pp035	I
0.0	sub-pp035	M
0.0	sub-pp035	R
0.0	sub-pp035	I
1.0	sub-pp035	I
0.0	sub-pp035	I
1.0	sub-pp035	I
0.0	sub-pp035	M
