participant_id	rtt-sum_corr	rtt-sum_incorr	rtt-sum_RT
sub-pp045	1.0	0.0	3638.0
sub-pp045	1.0	0.0	2484.0
sub-pp045	1.0	0.0	1909.0
sub-pp045	1.0	0.0	2409.0
sub-pp045	1.0	0.0	3316.0
sub-pp045	1.0	0.0	1888.0
sub-pp045	1.0	0.0	2323.0
sub-pp045	1.0	0.0	3115.0
sub-pp045	1.0	0.0	4500.0
sub-pp045	1.0	0.0	6954.0
sub-pp045	1.0	0.0	2546.0
sub-pp045	1.0	0.0	1668.0
sub-pp045	1.0	0.0	3215.0
sub-pp045	1.0	0.0	1818.0
sub-pp045	1.0	0.0	1994.0
sub-pp045	1.0	0.0	2119.0
sub-pp045	1.0	0.0	2336.0
sub-pp045	1.0	0.0	2976.0
sub-pp045	1.0	0.0	2742.0
sub-pp045	1.0	0.0	2735.0
sub-pp045	1.0	0.0	1992.0
sub-pp045	1.0	0.0	2088.0
sub-pp045	1.0	0.0	3040.0
sub-pp045	1.0	0.0	2464.0
sub-pp045	1.0	0.0	2480.0
sub-pp045	1.0	0.0	3359.0
sub-pp045	1.0	0.0	5533.0
sub-pp045	1.0	0.0	2125.0
sub-pp045	1.0	0.0	3925.0
sub-pp045	1.0	0.0	2896.0
sub-pp045	1.0	0.0	3047.0
