amma_corr	participant_id	amma_response
0.0	sub-pp094	I
1.0	sub-pp094	I
0.0	sub-pp094	M
0.0	sub-pp094	Je ne sais pas
0.0	sub-pp094	Je ne sais pas
1.0	sub-pp094	I
1.0	sub-pp094	M
0.0	sub-pp094	Je ne sais pas
1.0	sub-pp094	I
1.0	sub-pp094	R
1.0	sub-pp094	M
0.0	sub-pp094	Je ne sais pas
1.0	sub-pp094	I
1.0	sub-pp094	M
0.0	sub-pp094	Je ne sais pas
1.0	sub-pp094	M
1.0	sub-pp094	R
1.0	sub-pp094	I
0.0	sub-pp094	Je ne sais pas
1.0	sub-pp094	I
1.0	sub-pp094	R
1.0	sub-pp094	I
0.0	sub-pp094	I
1.0	sub-pp094	I
1.0	sub-pp094	M
0.0	sub-pp094	M
1.0	sub-pp094	I
0.0	sub-pp094	I
0.0	sub-pp094	Je ne sais pas
0.0	sub-pp094	I
