amma_corr	participant_id	amma_response
1.0	sub-pp022	M
1.0	sub-pp022	I
0.0	sub-pp022	I
1.0	sub-pp022	R
1.0	sub-pp022	M
1.0	sub-pp022	I
0.0	sub-pp022	R
1.0	sub-pp022	R
1.0	sub-pp022	I
1.0	sub-pp022	R
1.0	sub-pp022	M
1.0	sub-pp022	M
1.0	sub-pp022	I
1.0	sub-pp022	M
1.0	sub-pp022	R
1.0	sub-pp022	M
1.0	sub-pp022	R
0.0	sub-pp022	M
1.0	sub-pp022	M
1.0	sub-pp022	I
0.0	sub-pp022	M
1.0	sub-pp022	I
1.0	sub-pp022	M
1.0	sub-pp022	I
1.0	sub-pp022	M
0.0	sub-pp022	I
0.0	sub-pp022	R
0.0	sub-pp022	I
1.0	sub-pp022	I
1.0	sub-pp022	R
