amma_corr	participant_id	amma_response
1.0	sub-pp117	M
1.0	sub-pp117	I
1.0	sub-pp117	R
1.0	sub-pp117	R
1.0	sub-pp117	M
1.0	sub-pp117	I
1.0	sub-pp117	M
1.0	sub-pp117	R
1.0	sub-pp117	I
1.0	sub-pp117	R
1.0	sub-pp117	M
1.0	sub-pp117	M
1.0	sub-pp117	I
1.0	sub-pp117	M
1.0	sub-pp117	R
1.0	sub-pp117	M
1.0	sub-pp117	R
1.0	sub-pp117	I
1.0	sub-pp117	M
1.0	sub-pp117	I
1.0	sub-pp117	R
0.0	sub-pp117	Je ne sais pas
0.0	sub-pp117	I
1.0	sub-pp117	I
1.0	sub-pp117	M
0.0	sub-pp117	I
0.0	sub-pp117	Je ne sais pas
1.0	sub-pp117	R
1.0	sub-pp117	I
0.0	sub-pp117	M
