participant_id	digit-back_corr	digit-back_incorr	digit-back_RT	digit-back_response
sub-pp046	1.0	0.0	1353.7000000476835	13
sub-pp046	1.0	0.0	2447.0	42
sub-pp046	1.0	0.0	1934.1000001430511	64
sub-pp046	1.0	0.0	1632.9000000953674	75
sub-pp046	1.0	0.0	2039.3000001907349	926
sub-pp046	1.0	0.0	2161.700000047684	574
sub-pp046	1.0	0.0	6778.299999952316	9728
sub-pp046	1.0	0.0	5830.299999952316	8694
sub-pp046	1.0	0.0	7745.599999904633	34856
sub-pp046	1.0	0.0	16894.89999985695	68451
sub-pp046	1.0	0.0	12927.299999952316	814735
sub-pp046	1.0	0.0	14642.600000143051	658427
sub-pp046	1.0	0.0	18779.29999995232	2639418
sub-pp046	1.0	0.0	17367.099999904633	8269374
sub-pp046	1.0	0.0	16075.599999904633	81267349
sub-pp046	1.0	0.0	28438.09999990464	34651827
