amma_corr	participant_id	amma_response
0.0	sub-pp135	I
1.0	sub-pp135	I
1.0	sub-pp135	R
0.0	sub-pp135	M
1.0	sub-pp135	M
1.0	sub-pp135	I
0.0	sub-pp135	I
1.0	sub-pp135	R
1.0	sub-pp135	I
1.0	sub-pp135	R
1.0	sub-pp135	M
1.0	sub-pp135	M
1.0	sub-pp135	I
0.0	sub-pp135	I
0.0	sub-pp135	M
1.0	sub-pp135	M
1.0	sub-pp135	R
0.0	sub-pp135	Je ne sais pas
1.0	sub-pp135	M
1.0	sub-pp135	I
1.0	sub-pp135	R
1.0	sub-pp135	I
0.0	sub-pp135	I
0.0	sub-pp135	R
0.0	sub-pp135	I
0.0	sub-pp135	I
1.0	sub-pp135	I
0.0	sub-pp135	M
1.0	sub-pp135	I
0.0	sub-pp135	I
