amma_corr	participant_id	amma_response
0.0	sub-pp019	R
1.0	sub-pp019	I
1.0	sub-pp019	R
0.0	sub-pp019	M
0.0	sub-pp019	I
1.0	sub-pp019	I
0.0	sub-pp019	I
0.0	sub-pp019	I
1.0	sub-pp019	I
1.0	sub-pp019	R
1.0	sub-pp019	M
0.0	sub-pp019	R
1.0	sub-pp019	I
0.0	sub-pp019	R
1.0	sub-pp019	R
0.0	sub-pp019	R
0.0	sub-pp019	M
0.0	sub-pp019	Je ne sais pas
0.0	sub-pp019	I
1.0	sub-pp019	I
0.0	sub-pp019	I
1.0	sub-pp019	I
1.0	sub-pp019	M
1.0	sub-pp019	I
0.0	sub-pp019	Je ne sais pas
0.0	sub-pp019	I
1.0	sub-pp019	I
0.0	sub-pp019	I
1.0	sub-pp019	I
0.0	sub-pp019	I
