amma_corr	participant_id	amma_response
1.0	sub-pp166	M
1.0	sub-pp166	I
1.0	sub-pp166	R
0.0	sub-pp166	M
1.0	sub-pp166	M
1.0	sub-pp166	I
0.0	sub-pp166	R
0.0	sub-pp166	I
1.0	sub-pp166	I
1.0	sub-pp166	R
1.0	sub-pp166	M
1.0	sub-pp166	M
1.0	sub-pp166	I
0.0	sub-pp166	I
0.0	sub-pp166	M
1.0	sub-pp166	M
1.0	sub-pp166	R
0.0	sub-pp166	M
1.0	sub-pp166	M
1.0	sub-pp166	I
1.0	sub-pp166	R
0.0	sub-pp166	R
0.0	sub-pp166	I
0.0	sub-pp166	M
1.0	sub-pp166	M
0.0	sub-pp166	M
1.0	sub-pp166	I
0.0	sub-pp166	I
1.0	sub-pp166	I
0.0	sub-pp166	M
