participant_id	apm_corr	apm_incorr	apm_RT
sub-pp012	1.0	0.0	28148.400000000373
sub-pp012	1.0	0.0	9146.799999999814
sub-pp012	1.0	0.0	34267.40000000037
sub-pp012	1.0	0.0	19090.89999999944
sub-pp012	0.0	1.0	23997.89999999944
sub-pp012	0.0	1.0	61830.700000000186
sub-pp012	1.0	0.0	68677.29999999981
sub-pp012	0.0	1.0	21344.400000000373
sub-pp012	0.0	1.0	27298.69999999925
sub-pp012	0.0	1.0	277.5
sub-pp012	0.0	1.0	18.700000000186265
sub-pp012	0.0	1.0	521.0
sub-pp012	0.0	1.0	23593.60000000056
sub-pp012	0.0	1.0	51021.39999999944
sub-pp012	0.0	1.0	31628.299999999814
sub-pp012	0.0	1.0	25481.299999999814
sub-pp012	0.0	1.0	28147.099999999627
sub-pp012	0.0	1.0	64055.90000000037
sub-pp012	1.0	0.0	44080.29999999888
sub-pp012	1.0	0.0	61271.09999999963
sub-pp012	0.0	1.0	15916.700000001118
sub-pp012	0.0	1.0	72106.29999999888
sub-pp012	0.0	1.0	33991.90000000037
