amma_corr	participant_id	amma_response
0.0	sub-pp076	I
1.0	sub-pp076	I
0.0	sub-pp076	Je ne sais pas
1.0	sub-pp076	R
1.0	sub-pp076	M
0.0	sub-pp076	R
0.0	sub-pp076	Je ne sais pas
0.0	sub-pp076	M
1.0	sub-pp076	I
1.0	sub-pp076	R
0.0	sub-pp076	R
0.0	sub-pp076	Je ne sais pas
1.0	sub-pp076	I
0.0	sub-pp076	I
0.0	sub-pp076	Je ne sais pas
1.0	sub-pp076	M
0.0	sub-pp076	Je ne sais pas
0.0	sub-pp076	R
0.0	sub-pp076	Je ne sais pas
1.0	sub-pp076	I
0.0	sub-pp076	M
1.0	sub-pp076	I
0.0	sub-pp076	I
0.0	sub-pp076	Je ne sais pas
0.0	sub-pp076	R
0.0	sub-pp076	I
1.0	sub-pp076	I
0.0	sub-pp076	Je ne sais pas
1.0	sub-pp076	I
0.0	sub-pp076	Je ne sais pas
