amma_corr	participant_id	amma_response
1.0	sub-pp012	M
1.0	sub-pp012	I
0.0	sub-pp012	M
1.0	sub-pp012	R
0.0	sub-pp012	I
0.0	sub-pp012	M
0.0	sub-pp012	I
1.0	sub-pp012	R
1.0	sub-pp012	I
0.0	sub-pp012	Je ne sais pas
0.0	sub-pp012	R
0.0	sub-pp012	I
1.0	sub-pp012	I
1.0	sub-pp012	M
0.0	sub-pp012	M
1.0	sub-pp012	M
1.0	sub-pp012	R
0.0	sub-pp012	Je ne sais pas
0.0	sub-pp012	I
1.0	sub-pp012	I
0.0	sub-pp012	I
0.0	sub-pp012	M
0.0	sub-pp012	I
0.0	sub-pp012	R
1.0	sub-pp012	M
0.0	sub-pp012	Je ne sais pas
1.0	sub-pp012	I
0.0	sub-pp012	Je ne sais pas
0.0	sub-pp012	M
0.0	sub-pp012	I
