participant_id	digit-back_corr	digit-back_incorr	digit-back_RT	digit-back_response
sub-pp012	1.0	0.0	1631.6999999999534	13
sub-pp012	1.0	0.0	1396.0	42
sub-pp012	1.0	0.0	1761.0	64
sub-pp012	1.0	0.0	1979.40000000014	75
sub-pp012	1.0	0.0	2297.600000000093	926
sub-pp012	1.0	0.0	2861.5999999998603	574
sub-pp012	1.0	0.0	5422.199999999953	9728
sub-pp012	1.0	0.0	4213.800000000047	8694
sub-pp012	1.0	0.0	5835.100000000093	34856
sub-pp012	1.0	0.0	2793.600000000093	68451
sub-pp012	0.0	1.0	4487.699999999953	814725
sub-pp012	0.0	1.0	6368.899999999907	658247
