amma_corr	participant_id	amma_response
0.0	sub-pp091	I
1.0	sub-pp091	I
0.0	sub-pp091	M
0.0	sub-pp091	I
0.0	sub-pp091	I
1.0	sub-pp091	I
0.0	sub-pp091	I
1.0	sub-pp091	R
0.0	sub-pp091	M
1.0	sub-pp091	R
0.0	sub-pp091	I
1.0	sub-pp091	M
1.0	sub-pp091	I
0.0	sub-pp091	I
0.0	sub-pp091	I
0.0	sub-pp091	I
0.0	sub-pp091	M
1.0	sub-pp091	I
1.0	sub-pp091	M
1.0	sub-pp091	I
1.0	sub-pp091	R
0.0	sub-pp091	R
0.0	sub-pp091	I
0.0	sub-pp091	Je ne sais pas
0.0	sub-pp091	I
0.0	sub-pp091	M
0.0	sub-pp091	R
0.0	sub-pp091	M
1.0	sub-pp091	I
0.0	sub-pp091	M
