amma_corr	participant_id	amma_response
1.0	sub-pp145	M
1.0	sub-pp145	I
1.0	sub-pp145	R
0.0	sub-pp145	Je ne sais pas
0.0	sub-pp145	I
0.0	sub-pp145	M
0.0	sub-pp145	I
1.0	sub-pp145	R
1.0	sub-pp145	I
1.0	sub-pp145	R
0.0	sub-pp145	I
0.0	sub-pp145	Je ne sais pas
1.0	sub-pp145	I
0.0	sub-pp145	I
0.0	sub-pp145	M
1.0	sub-pp145	M
1.0	sub-pp145	R
0.0	sub-pp145	M
0.0	sub-pp145	I
1.0	sub-pp145	I
0.0	sub-pp145	M
0.0	sub-pp145	Je ne sais pas
0.0	sub-pp145	I
1.0	sub-pp145	I
1.0	sub-pp145	M
0.0	sub-pp145	I
0.0	sub-pp145	M
0.0	sub-pp145	I
1.0	sub-pp145	I
0.0	sub-pp145	I
