participant_id	apm_corr	apm_incorr	apm_RT
sub-pp032	0.0	1.0	15798.0
sub-pp032	1.0	0.0	11253.0
sub-pp032	1.0	0.0	18665.0
sub-pp032	0.0	1.0	10490.0
sub-pp032	0.0	1.0	18503.0
sub-pp032	0.0	1.0	12202.0
sub-pp032	1.0	0.0	16130.0
sub-pp032	0.0	1.0	14084.0
sub-pp032	1.0	0.0	20299.0
sub-pp032	1.0	0.0	22519.0
sub-pp032	0.0	1.0	142.0
sub-pp032	1.0	0.0	7712.0
sub-pp032	0.0	1.0	19275.0
sub-pp032	0.0	1.0	21961.0
sub-pp032	0.0	1.0	33249.0
sub-pp032	0.0	1.0	20079.0
sub-pp032	0.0	1.0	32015.0
sub-pp032	0.0	1.0	18899.0
sub-pp032	0.0	1.0	20872.0
sub-pp032	0.0	1.0	15030.0
sub-pp032	0.0	1.0	9523.0
sub-pp032	1.0	0.0	26868.0
sub-pp032	0.0	1.0	18441.0
