amma_corr	participant_id	amma_response
0.0	sub-pp032	I
0.0	sub-pp032	R
0.0	sub-pp032	M
0.0	sub-pp032	I
0.0	sub-pp032	I
1.0	sub-pp032	I
0.0	sub-pp032	R
0.0	sub-pp032	I
0.0	sub-pp032	R
0.0	sub-pp032	Je ne sais pas
0.0	sub-pp032	I
1.0	sub-pp032	M
0.0	sub-pp032	R
1.0	sub-pp032	M
0.0	sub-pp032	I
1.0	sub-pp032	M
0.0	sub-pp032	Je ne sais pas
1.0	sub-pp032	I
1.0	sub-pp032	M
1.0	sub-pp032	I
1.0	sub-pp032	R
0.0	sub-pp032	M
0.0	sub-pp032	I
1.0	sub-pp032	I
1.0	sub-pp032	M
1.0	sub-pp032	R
1.0	sub-pp032	I
1.0	sub-pp032	R
0.0	sub-pp032	Je ne sais pas
0.0	sub-pp032	I
