amma_corr	participant_id	amma_response
1.0	sub-pp054	M
1.0	sub-pp054	I
0.0	sub-pp054	M
1.0	sub-pp054	R
1.0	sub-pp054	M
0.0	sub-pp054	Je ne sais pas
0.0	sub-pp054	I
1.0	sub-pp054	R
1.0	sub-pp054	I
1.0	sub-pp054	R
0.0	sub-pp054	Je ne sais pas
1.0	sub-pp054	M
1.0	sub-pp054	I
1.0	sub-pp054	M
0.0	sub-pp054	Je ne sais pas
1.0	sub-pp054	M
1.0	sub-pp054	R
0.0	sub-pp054	M
0.0	sub-pp054	R
1.0	sub-pp054	I
0.0	sub-pp054	M
0.0	sub-pp054	Je ne sais pas
1.0	sub-pp054	M
1.0	sub-pp054	I
0.0	sub-pp054	Je ne sais pas
0.0	sub-pp054	M
1.0	sub-pp054	I
0.0	sub-pp054	I
0.0	sub-pp054	Je ne sais pas
0.0	sub-pp054	Je ne sais pas
