amma_corr	participant_id	amma_response
0.0	sub-pp156	I
0.0	sub-pp156	R
0.0	sub-pp156	M
0.0	sub-pp156	I
0.0	sub-pp156	R
1.0	sub-pp156	I
0.0	sub-pp156	R
0.0	sub-pp156	I
1.0	sub-pp156	I
1.0	sub-pp156	R
0.0	sub-pp156	R
0.0	sub-pp156	R
1.0	sub-pp156	I
0.0	sub-pp156	I
1.0	sub-pp156	R
1.0	sub-pp156	M
1.0	sub-pp156	R
1.0	sub-pp156	I
0.0	sub-pp156	I
1.0	sub-pp156	I
1.0	sub-pp156	R
1.0	sub-pp156	I
0.0	sub-pp156	I
0.0	sub-pp156	R
0.0	sub-pp156	I
1.0	sub-pp156	R
1.0	sub-pp156	I
0.0	sub-pp156	I
1.0	sub-pp156	I
0.0	sub-pp156	M
