participant_id	brocanto_corr	brocanto_incorr	brocanto_RT	brocanto_block
sub-pp164	0.0	1.0	3684.5	1.0
sub-pp164	0.0	1.0	3109.399999976158	1.0
sub-pp164	1.0	0.0	2318.900000035763	1.0
sub-pp164	1.0	0.0	2057.699999988079	1.0
sub-pp164	0.0	1.0	1893.0	1.0
sub-pp164	1.0	0.0	2143.199999988079	1.0
sub-pp164	0.0	1.0	3645.100000023842	1.0
sub-pp164	1.0	0.0	3239.099999964237	1.0
sub-pp164	0.0	1.0	3094.5	1.0
sub-pp164	0.0	1.0	1370.0	1.0
sub-pp164	0.0	1.0	3805.599999964237	1.0
sub-pp164	1.0	0.0	1397.199999988079	1.0
sub-pp164	0.0	1.0	2740.699999988079	1.0
sub-pp164	1.0	0.0	2034.800000011921	1.0
sub-pp164	0.0	1.0	3744.599999964237	1.0
sub-pp164	1.0	0.0	1481.199999988079	1.0
sub-pp164	0.0	1.0	2461.600000023842	1.0
sub-pp164	1.0	0.0	2222.300000011921	1.0
sub-pp164	0.0	1.0	3717.5	1.0
sub-pp164	0.0	1.0	2548.900000035763	1.0
sub-pp164	0.0	1.0	1448.600000023842	1.0
sub-pp164	0.0	1.0	2176.5	1.0
sub-pp164	0.0	1.0	1349.0	1.0
sub-pp164	0.0	1.0	869.6000000238419	1.0
sub-pp164	1.0	0.0	2107.300000011921	1.0
sub-pp164	1.0	0.0	3417.0	1.0
sub-pp164	1.0	0.0	3169.699999988079	1.0
sub-pp164	0.0	1.0	3303.800000011921	1.0
sub-pp164	0.0	1.0	3403.900000035763	1.0
sub-pp164	1.0	0.0	1613.5	1.0
sub-pp164	0.0	1.0	2033.199999988079	1.0
sub-pp164	1.0	0.0	2583.399999976158	1.0
sub-pp164	0.0	1.0	2144.700000047684	1.0
sub-pp164	0.0	1.0	2033.9000000357628	1.0
sub-pp164	1.0	0.0	1321.300000011921	1.0
sub-pp164	1.0	0.0	1051.800000011921	1.0
sub-pp164	1.0	0.0	1862.700000047684	1.0
sub-pp164	1.0	0.0	1176.0999999642372	1.0
sub-pp164	0.0	1.0	903.1999999880792	1.0
sub-pp164	1.0	0.0	1482.199999988079	1.0
sub-pp164	0.0	1.0	5466.199999988079	2.0
sub-pp164	1.0	0.0	3796.5	2.0
sub-pp164	1.0	0.0	1367.9000000357628	2.0
sub-pp164	1.0	0.0	1440.4000000357628	2.0
sub-pp164	0.0	1.0	990.0	2.0
sub-pp164	0.0	1.0	3025.5	2.0
sub-pp164	0.0	1.0	2361.800000011921	2.0
sub-pp164	1.0	0.0	2790.900000035763	2.0
sub-pp164	0.0	1.0	2927.899999976158	2.0
sub-pp164	0.0	1.0	2566.800000011921	2.0
sub-pp164	1.0	0.0	3107.399999976158	2.0
sub-pp164	1.0	0.0	2631.199999988079	2.0
sub-pp164	1.0	0.0	2335.400000035763	2.0
sub-pp164	0.0	1.0	3905.0	2.0
sub-pp164	1.0	0.0	2462.0	2.0
sub-pp164	0.0	1.0	4002.5	2.0
sub-pp164	1.0	0.0	2522.0	2.0
sub-pp164	0.0	1.0	3088.199999988079	2.0
sub-pp164	1.0	0.0	4159.5	2.0
sub-pp164	1.0	0.0	4113.199999988079	2.0
sub-pp164	1.0	0.0	3509.199999988079	2.0
sub-pp164	0.0	1.0	2779.5	2.0
sub-pp164	1.0	0.0	2587.0	2.0
sub-pp164	1.0	0.0	3635.699999988079	2.0
sub-pp164	0.0	1.0	5241.399999976158	2.0
sub-pp164	1.0	0.0	2550.899999976158	2.0
sub-pp164	1.0	0.0	2278.0	2.0
sub-pp164	0.0	1.0	3724.599999964237	2.0
sub-pp164	1.0	0.0	2686.800000011921	2.0
sub-pp164	0.0	1.0	4075.0	2.0
sub-pp164	0.0	1.0	4702.600000023842	2.0
sub-pp164	0.0	1.0	3719.699999988079	2.0
sub-pp164	1.0	0.0	2204.399999976158	2.0
sub-pp164	0.0	1.0	3390.699999988079	2.0
sub-pp164	1.0	0.0	2711.599999964237	2.0
sub-pp164	0.0	1.0	4752.0	2.0
sub-pp164	1.0	0.0	4416.699999988079	2.0
sub-pp164	1.0	0.0	3894.599999964237	2.0
sub-pp164	1.0	0.0	4752.599999964237	2.0
sub-pp164	0.0	1.0	1480.600000023842	3.0
sub-pp164	0.0	1.0	1834.0	3.0
sub-pp164	1.0	0.0	2065.899999976158	3.0
sub-pp164	0.0	1.0	4380.199999988079	3.0
sub-pp164	1.0	0.0	2043.899999976158	3.0
sub-pp164	1.0	0.0	1947.5999999642368	3.0
sub-pp164	1.0	0.0	4441.0	3.0
sub-pp164	1.0	0.0	3684.300000011921	3.0
sub-pp164	1.0	0.0	2910.5	3.0
sub-pp164	1.0	0.0	3186.399999976158	3.0
sub-pp164	1.0	0.0	3393.600000023842	3.0
sub-pp164	0.0	1.0	2570.100000023842	3.0
sub-pp164	1.0	0.0	1946.0	3.0
sub-pp164	1.0	0.0	1691.899999976158	3.0
sub-pp164	0.0	1.0	1712.5	3.0
sub-pp164	1.0	0.0	2681.0	3.0
sub-pp164	0.0	1.0	1412.5	3.0
sub-pp164	1.0	0.0	1193.399999976158	3.0
sub-pp164	1.0	0.0	1112.600000023842	3.0
sub-pp164	0.0	1.0	1804.699999988079	3.0
sub-pp164	1.0	0.0	596.3999999761581	3.0
sub-pp164	0.0	1.0	963.5	3.0
sub-pp164	0.0	1.0	722.1999999880791	3.0
sub-pp164	0.0	1.0	1966.9000000357628	3.0
sub-pp164	0.0	1.0	2694.600000023842	3.0
sub-pp164	0.0	1.0	1532.899999976158	3.0
sub-pp164	1.0	0.0	2841.2999999523163	3.0
sub-pp164	1.0	0.0	1801.6000000238416	3.0
sub-pp164	1.0	0.0	2897.5	3.0
sub-pp164	0.0	1.0	5973.0	3.0
sub-pp164	1.0	0.0	3007.399999976158	3.0
sub-pp164	1.0	0.0	4075.400000035763	3.0
sub-pp164	1.0	0.0	1786.4000000357628	3.0
sub-pp164	1.0	0.0	2505.300000011921	3.0
sub-pp164	0.0	1.0	3008.199999988079	3.0
sub-pp164	0.0	1.0	1622.0	3.0
sub-pp164	1.0	0.0	1506.5	3.0
sub-pp164	0.0	1.0	1933.0	3.0
sub-pp164	1.0	0.0	2921.900000035763	3.0
sub-pp164	0.0	1.0	266.9000000357628	3.0
