amma_corr	participant_id	amma_response
1.0	sub-pp125	M
1.0	sub-pp125	I
1.0	sub-pp125	R
0.0	sub-pp125	I
0.0	sub-pp125	I
0.0	sub-pp125	R
1.0	sub-pp125	M
1.0	sub-pp125	R
0.0	sub-pp125	M
1.0	sub-pp125	R
1.0	sub-pp125	M
1.0	sub-pp125	M
1.0	sub-pp125	I
0.0	sub-pp125	I
1.0	sub-pp125	R
1.0	sub-pp125	M
1.0	sub-pp125	R
1.0	sub-pp125	I
1.0	sub-pp125	M
1.0	sub-pp125	I
1.0	sub-pp125	R
1.0	sub-pp125	I
1.0	sub-pp125	M
0.0	sub-pp125	M
0.0	sub-pp125	R
0.0	sub-pp125	I
1.0	sub-pp125	I
0.0	sub-pp125	Je ne sais pas
1.0	sub-pp125	I
0.0	sub-pp125	M
