amma_corr	participant_id	amma_response
0.0	sub-pp092	R
1.0	sub-pp092	I
1.0	sub-pp092	R
0.0	sub-pp092	I
1.0	sub-pp092	M
1.0	sub-pp092	I
0.0	sub-pp092	R
0.0	sub-pp092	I
1.0	sub-pp092	I
0.0	sub-pp092	M
0.0	sub-pp092	R
0.0	sub-pp092	R
1.0	sub-pp092	I
0.0	sub-pp092	R
0.0	sub-pp092	M
0.0	sub-pp092	R
0.0	sub-pp092	M
1.0	sub-pp092	I
1.0	sub-pp092	M
1.0	sub-pp092	I
0.0	sub-pp092	I
1.0	sub-pp092	I
0.0	sub-pp092	I
1.0	sub-pp092	I
1.0	sub-pp092	M
1.0	sub-pp092	R
1.0	sub-pp092	I
0.0	sub-pp092	I
1.0	sub-pp092	I
0.0	sub-pp092	I
