amma_corr	participant_id	amma_response
0.0	sub-pp030	I
1.0	sub-pp030	I
0.0	sub-pp030	M
1.0	sub-pp030	R
0.0	sub-pp030	R
0.0	sub-pp030	Je ne sais pas
0.0	sub-pp030	R
0.0	sub-pp030	I
0.0	sub-pp030	R
0.0	sub-pp030	M
1.0	sub-pp030	M
0.0	sub-pp030	I
1.0	sub-pp030	I
0.0	sub-pp030	R
0.0	sub-pp030	M
1.0	sub-pp030	M
0.0	sub-pp030	Je ne sais pas
0.0	sub-pp030	M
0.0	sub-pp030	Je ne sais pas
1.0	sub-pp030	I
0.0	sub-pp030	M
0.0	sub-pp030	M
0.0	sub-pp030	R
0.0	sub-pp030	R
1.0	sub-pp030	M
0.0	sub-pp030	I
0.0	sub-pp030	Je ne sais pas
1.0	sub-pp030	R
1.0	sub-pp030	I
0.0	sub-pp030	I
