amma_corr	participant_id	amma_response
0.0	sub-pp158	R
1.0	sub-pp158	I
1.0	sub-pp158	R
0.0	sub-pp158	I
0.0	sub-pp158	I
1.0	sub-pp158	I
1.0	sub-pp158	M
1.0	sub-pp158	R
1.0	sub-pp158	I
1.0	sub-pp158	R
1.0	sub-pp158	M
0.0	sub-pp158	Je ne sais pas
1.0	sub-pp158	I
1.0	sub-pp158	M
0.0	sub-pp158	M
0.0	sub-pp158	R
0.0	sub-pp158	Je ne sais pas
1.0	sub-pp158	I
1.0	sub-pp158	M
1.0	sub-pp158	I
1.0	sub-pp158	R
1.0	sub-pp158	I
0.0	sub-pp158	I
0.0	sub-pp158	M
0.0	sub-pp158	Je ne sais pas
0.0	sub-pp158	I
0.0	sub-pp158	R
0.0	sub-pp158	I
1.0	sub-pp158	I
0.0	sub-pp158	Je ne sais pas
