amma_corr	participant_id	amma_response
0.0	sub-pp170	I
0.0	sub-pp170	M
1.0	sub-pp170	R
0.0	sub-pp170	I
1.0	sub-pp170	M
1.0	sub-pp170	I
0.0	sub-pp170	R
0.0	sub-pp170	I
1.0	sub-pp170	I
1.0	sub-pp170	R
0.0	sub-pp170	I
0.0	sub-pp170	Je ne sais pas
1.0	sub-pp170	I
0.0	sub-pp170	I
0.0	sub-pp170	M
1.0	sub-pp170	M
1.0	sub-pp170	R
1.0	sub-pp170	I
1.0	sub-pp170	M
1.0	sub-pp170	I
1.0	sub-pp170	R
0.0	sub-pp170	M
0.0	sub-pp170	I
1.0	sub-pp170	I
0.0	sub-pp170	Je ne sais pas
0.0	sub-pp170	I
0.0	sub-pp170	R
0.0	sub-pp170	I
1.0	sub-pp170	I
0.0	sub-pp170	M
